DELIVERY_START,load_forecast,coal_power_available,gas_power_available,nuclear_power_available,wind_power_forecasts_average,solar_power_forecasts_average,wind_power_forecasts_std,solar_power_forecasts_std,predicted_spot_price,spot_id_delta,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,load_forecast_lag_1,load_forecast_lag_24,gas_power_available_lag_1,gas_power_available_lag_24,wind_power_forecasts_average_lag_1,wind_power_forecasts_average_lag_24,solar_power_forecasts_average_lag_1,solar_power_forecasts_average_lag_24,wind_power_forecasts_std_lag_1,wind_power_forecasts_std_lag_24,solar_power_forecasts_std_lag_1,solar_power_forecasts_std_lag_24
2022-01-01 01:00:00,49439.0,3386.0,11487.0,44118.0,3035.0,0.0,79.24834795498744,0.0,,-36.87477034017871,1,5,1,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,,,,,,,,,,,,
2022-01-01 02:00:00,46511.0,3386.0,11487.0,44118.0,3143.0,0.0,61.77653170323712,0.0,,-12.643587696642406,2,5,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,49439.0,,11487.0,,3035.0,,0.0,,79.24834795498744,,0.0,
2022-01-01 03:00:00,45158.0,3386.0,11487.0,44118.0,3288.0,0.0,44.29111213752825,0.0,,-1.9501934473890188,3,5,1,1,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,46511.0,,11487.0,,3143.0,,0.0,,61.77653170323712,,0.0,
2022-01-01 04:00:00,44779.0,3386.0,11487.0,44118.0,3447.0,0.0,36.12758799558981,0.0,,1.9382723978919567,4,5,1,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,45158.0,,11487.0,,3288.0,,0.0,,44.29111213752825,,0.0,
2022-01-01 05:00:00,45284.0,3386.0,11487.0,44118.0,3679.0,0.0,30.98302297094805,0.0,,0.1999074242149205,5,5,1,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,44779.0,,11487.0,,3447.0,,0.0,,36.12758799558981,,0.0,
2022-01-01 06:00:00,45648.0,3386.0,11487.0,44118.0,3902.0,0.0,27.62405175375482,0.0,,-0.943991642841432,6,5,1,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,45284.0,,11487.0,,3679.0,,0.0,,30.98302297094805,,0.0,
2022-01-01 07:00:00,45909.0,3386.0,11487.0,44118.0,4092.0,198.0,44.94470095340352,6.1953492993677495,,-2.770880672268909,7,5,1,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,45648.0,,11487.0,,3902.0,,0.0,,27.62405175375482,,0.0,
2022-01-01 08:00:00,47091.0,3386.0,11487.0,44118.0,4315.0,1012.0,30.505330081784955,23.23995671758656,,-17.576595700702775,8,5,1,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,45909.0,,11487.0,,4092.0,,198.0,,44.94470095340352,,6.1953492993677495,
2022-01-01 09:00:00,48300.0,3386.0,11487.0,44118.0,4436.0,2401.0,35.83590962010974,44.45015384079769,,-12.352031408308008,9,5,1,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,47091.0,,11487.0,,4315.0,,1012.0,,30.505330081784955,,23.23995671758656,
2022-01-01 10:00:00,49559.0,3386.0,11487.0,44118.0,4459.0,3699.0,57.67094509800192,53.42648880361061,,-15.489499404998014,10,5,1,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,48300.0,,11487.0,,4436.0,,2401.0,,35.83590962010974,,44.45015384079769,
2022-01-01 11:00:00,51367.0,3386.0,11487.0,44118.0,4135.0,4337.0,85.92893020253233,40.55823699614286,,-24.42679011669314,11,5,1,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,49559.0,,11487.0,,4459.0,,3699.0,,57.67094509800192,,53.42648880361061,
2022-01-01 12:00:00,50054.0,3386.0,11487.0,44118.0,3570.0,4391.0,64.74214818519671,22.229253381127087,,-27.5095412656154,12,5,1,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,51367.0,,11487.0,,4135.0,,4337.0,,85.92893020253233,,40.55823699614286,
2022-01-01 13:00:00,47679.0,3386.0,11487.0,44118.0,3411.0,3765.0,43.2179459214943,13.812292053265669,,-33.89783067375887,13,5,1,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,50054.0,,11487.0,,3570.0,,4391.0,,64.74214818519671,,22.229253381127087,
2022-01-01 14:00:00,46322.0,3386.0,11487.0,44118.0,3233.0,2361.0,170.99891394809652,40.17696149902488,,-28.22958510582427,14,5,1,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,47679.0,,11487.0,,3411.0,,3765.0,,43.2179459214943,,13.812292053265669,
2022-01-01 15:00:00,46171.0,3386.0,11487.0,44926.0,3263.0,925.0,157.4138313037146,23.668224985190268,,-17.74669934962553,15,5,1,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,46322.0,,11487.0,,3233.0,,2361.0,,170.99891394809652,,40.17696149902488,
2022-01-01 16:00:00,49193.0,3386.0,11487.0,44926.0,3717.0,126.0,143.2432496539665,6.366007415968655,,-46.160452984618274,16,5,1,1,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,46171.0,,11487.0,,3263.0,,925.0,,157.4138313037146,,23.668224985190268,
2022-01-01 17:00:00,53817.0,3386.0,11487.0,45033.0,4215.0,0.0,191.07250348310612,0.0,,-39.03729394015591,17,5,1,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,49193.0,,11487.0,,3717.0,,126.0,,143.2432496539665,,6.366007415968655,
2022-01-01 18:00:00,55236.0,3386.0,11487.0,45033.0,4563.0,0.0,211.52473681750345,0.0,,-38.75089443169465,18,5,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,53817.0,,11487.0,,4215.0,,0.0,,191.07250348310612,,0.0,
2022-01-01 19:00:00,54017.0,3386.0,11487.0,44416.0,4764.0,0.0,203.5945005026429,0.0,,-19.33198011599005,19,5,1,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,55236.0,,11487.0,,4563.0,,0.0,,211.52473681750345,,0.0,
2022-01-01 20:00:00,52169.0,3386.0,11487.0,44416.0,4897.0,0.0,207.0812508278924,0.0,,-25.91798950729928,20,5,1,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,54017.0,,11487.0,,4764.0,,0.0,,203.5945005026429,,0.0,
2022-01-01 21:00:00,52946.0,3386.0,11487.0,44416.0,5070.0,0.0,255.5697696185078,0.0,,-18.83325708628594,21,5,1,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,52169.0,,11487.0,,4897.0,,0.0,,207.0812508278924,,0.0,
2022-01-01 22:00:00,53610.0,3386.0,11487.0,44416.0,5302.0,0.0,329.4531243001206,0.0,,-6.59139866462651,22,5,1,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,52946.0,,11487.0,,5070.0,,0.0,,255.5697696185078,,0.0,
2022-01-01 23:00:00,52698.0,2226.0,11487.0,43501.0,5611.0,0.0,101.46426332470986,0.0,,-19.24867350329962,23,5,1,1,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,53610.0,,11487.0,,5302.0,,0.0,,329.4531243001206,,0.0,
2022-01-02 00:00:00,50199.0,2226.0,11487.0,43371.0,5881.0,0.0,157.78168088700744,0.0,,-5.555391644908617,0,6,1,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,52698.0,,11487.0,,5611.0,,0.0,,101.46426332470986,,0.0,
2022-01-02 01:00:00,48690.0,2226.0,11487.0,43371.0,6110.0,0.0,85.75653331691946,0.0,,-4.384747675139487,1,6,1,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,50199.0,49439.0,11487.0,11487.0,5881.0,3035.0,0.0,0.0,157.78168088700744,79.24834795498744,0.0,0.0
2022-01-02 02:00:00,45866.0,2226.0,11487.0,43501.0,6457.0,0.0,219.43237081040903,0.0,,-23.44645991952956,2,6,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,48690.0,46511.0,11487.0,11487.0,6110.0,3143.0,0.0,0.0,85.75653331691946,61.77653170323712,0.0,0.0
2022-01-02 03:00:00,44697.0,2226.0,11487.0,44416.0,6856.0,0.0,286.6582306100258,0.0,,-20.230647956070776,3,6,1,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,45866.0,45158.0,11487.0,11487.0,6457.0,3288.0,0.0,0.0,219.43237081040903,44.29111213752825,0.0,0.0
2022-01-02 04:00:00,44679.0,3386.0,11487.0,44416.0,7283.0,0.0,312.7309447286109,0.0,,-28.905751875489862,4,6,1,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,44697.0,44779.0,11487.0,11487.0,6856.0,3447.0,0.0,0.0,286.6582306100258,36.12758799558981,0.0,0.0
